jid,dft_volume
JVASP-1002,41.44950316724692
JVASP-10036,127.54618611829845
JVASP-10037,150.0586393965065
JVASP-1008,72.98507996325951
JVASP-1023,104.2940748413241
JVASP-1029,50.4922459680982
JVASP-103127,131.72894521076563
JVASP-104,69.83574840297592
JVASP-104764,86.80813404381561
JVASP-105410,43.72999792403493
JVASP-10591,240.7400825718359
JVASP-106363,190.52413343177375
JVASP-106686,131.07605761085264
JVASP-1067,148.20631801554174
JVASP-107,84.4733174477137
JVASP-10703,268.8800721127567
JVASP-108770,131.88527684151302
JVASP-110,66.2218432581129
JVASP-110231,55.248894830003685
JVASP-1103,70.05193978497194
JVASP-1109,202.50331858154576
JVASP-111005,136.34252948975464
JVASP-1112,53.59166278292762
JVASP-1115,59.336453450933455
JVASP-113,143.51100407929832
JVASP-1174,47.07339528783792
JVASP-1177,59.4396027740533
JVASP-1180,63.90020520310598
JVASP-1183,52.798568208252725
JVASP-1186,58.70559993105507
JVASP-1189,72.19408525706166
JVASP-1192,58.66107445580299
JVASP-1195,48.96307288317627
JVASP-1198,58.544207385415206
JVASP-1201,39.32872369011957
JVASP-1216,79.3661832661201
JVASP-1222,199.23882904270607
JVASP-1240,108.93092508279413
JVASP-131,70.36946097827102
JVASP-1312,23.60863858280481
JVASP-1327,41.919081824148954
JVASP-133719,28.081830623950857
JVASP-1372,46.912575397805874
JVASP-1408,60.326023019685195
JVASP-14616,19.742999419609777
JVASP-14968,86.82023052863047
JVASP-14970,41.53000219848839
JVASP-149871,175.49463259175684
JVASP-149906,259.3396115716295
JVASP-149916,263.94497895983966
JVASP-18983,262.87516634231906
JVASP-1915,121.03661599908206
JVASP-19780,41.73786913019021
JVASP-20092,26.897355287896783
JVASP-21211,79.7603656525974
JVASP-22694,35.75575194829161
JVASP-23,71.32704804802184
JVASP-2376,155.72114597877368
JVASP-25,178.41002886536117
JVASP-29539,257.0185921132536
JVASP-30,46.80098795550242
JVASP-32,87.23873326976242
JVASP-34249,32.45059138763467
JVASP-34674,164.34750480091049
JVASP-3510,346.8707522669254
JVASP-36018,24.480550226553387
JVASP-36408,32.876564054202014
JVASP-36873,36.876386737277905
JVASP-39,42.60335573349161
JVASP-41,115.03863278957989
JVASP-4282,636.7316814415542
JVASP-43367,278.0866338013414
JVASP-5224,246.42284660191459
JVASP-54,110.08375827060286
JVASP-58349,115.06979173238526
JVASP-62940,35.94627046738973
JVASP-7836,11.900868201825759
JVASP-79522,44.41887441770959
JVASP-8003,51.50092600372137
JVASP-802,44.0827783765933
JVASP-8082,60.7746253471189
JVASP-8118,42.25488378987602
JVASP-813,17.53475480641268
JVASP-8158,21.11950391419642
JVASP-816,16.82264004523941
JVASP-8184,83.1386705208825
JVASP-825,17.90566664024155
JVASP-85416,247.16426962819335
JVASP-85478,180.8941174265708
JVASP-8554,201.7570440165917
JVASP-8559,63.309684335839826
JVASP-861,11.456763786610122
JVASP-867,11.92060064093383
JVASP-890,47.73224257398682
JVASP-90668,162.57284738286762
JVASP-91,11.395114534025401
JVASP-9117,159.3645742837504
JVASP-9147,138.84497216018045
JVASP-9166,130.45524128797794
JVASP-943,10.829267002845178
JVASP-96,46.70989757342705
JVASP-963,15.265880537374839
JVASP-972,15.722870756316377
JVASP-99732,288.8135149753095
